0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,2
20,1
21,4
22,3
23,5
24,7
25,3
26,13
27,11
28,9
29,16
30,11
31,18
32,19
33,8
34,14
35,9
36,9
37,3
38,7
39,9
40,6
41,2
42,4
43,1
44,1
45,2
46,2
47,5
48,3
49,4
50,2
51,2
52,2
53,1
54,2
55,2
56,3
57,4
58,4
59,6
60,4
61,4
62,6
63,5
64,8
65,9
66,7
67,8
68,11
69,18
70,14
71,18
72,15
73,8
74,11
75,16
76,3
77,7
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,3
114,7
115,5
116,16
117,16
118,22
119,18
120,20
121,32
122,31
123,33
124,25
125,27
126,18
127,18
128,11
129,9
130,5
131,4
132,3
133,3
134,6
135,1
136,2
137,2
138,8
139,5
140,3
141,2
142,3
143,4
144,4
145,2
146,5
147,9
148,6
149,6
150,5
151,8
152,15
153,16
154,10
155,12
156,16
157,10
158,6
159,10
160,2
161,4
162,3
163,2
164,1
165,2
166,4
167,2
168,2
169,1
170,0
171,1
172,2
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
