Bucarest,Feb-17,200S,71.0
Bucarest,Feb-17,300S,84.0
Bucarest,Jan-17,200S,0.0
Bucarest,Jan-17,300S,84.0
Bucarest,Mar-17,200S,134.0
Bucarest,Mar-17,300S,84.0
Dallas,Feb-17,200S,76.0
Dallas,Feb-17,300S,0.0
Dallas,Jan-17,200S,76.0
Dallas,Jan-17,300S,0.0
Dallas,Mar-17,200S,76.0
Dallas,Mar-17,300S,24.0
Houston,Feb-17,200S,231.0
Houston,Feb-17,300S,102.0
Houston,Jan-17,200S,231.0
Houston,Jan-17,300S,102.0
Houston,Mar-17,200S,231.0
Houston,Mar-17,300S,102.0
Los Angeles,Feb-17,200S,89.0
Los Angeles,Feb-17,300S,61.0
Los Angeles,Jan-17,200S,89.0
Los Angeles,Jan-17,300S,61.0
Los Angeles,Mar-17,200S,89.0
Los Angeles,Mar-17,300S,61.0
Mexico,Feb-17,200S,53.0
Mexico,Feb-17,300S,0.0
Mexico,Jan-17,200S,53.0
Mexico,Jan-17,300S,0.0
Mexico,Mar-17,200S,53.0
Mexico,Mar-17,300S,0.0
Shanghai,Feb-17,200S,129.0
Shanghai,Feb-17,300S,0.0
Shanghai,Jan-17,200S,129.0
Shanghai,Jan-17,300S,0.0
Shanghai,Mar-17,200S,129.0
Shanghai,Mar-17,300S,0.0
Toledo,Feb-17,200S,42.0
Toledo,Feb-17,300S,121.0
Toledo,Jan-17,200S,0.0
Toledo,Jan-17,300S,54.0
Toledo,Mar-17,200S,25.0
Toledo,Mar-17,300S,121.0
