200S,US,Jan-17,81
200S,Canada,Jan-17,93
200S,Brazil,Jan-17,90
200S,Argentina,Jan-17,64
200S,UK,Jan-17,72
200S,France,Jan-17,83
200S,Germany,Jan-17,22
200S,Spain,Jan-17,68
200S,Italy,Jan-17,32
200S,China,Jan-17,87
200S,Japan,Jan-17,64
300S,US,Jan-17,28
300S,Canada,Jan-17,20
300S,Brazil,Jan-17,62
300S,Argentina,Jan-17,46
300S,UK,Jan-17,27
300S,France,Jan-17,108
300S,Germany,Jan-17,36
300S,Spain,Jan-17,20
300S,Italy,Jan-17,7
300S,China,Jan-17,33
300S,Japan,Jan-17,11
200S,US,Feb-17,88
200S,Canada,Feb-17,96
200S,Brazil,Feb-17,88
200S,Argentina,Feb-17,67
200S,UK,Feb-17,73
200S,France,Feb-17,79
200S,Germany,Feb-17,30
200S,Spain,Feb-17,65
200S,Italy,Feb-17,34
200S,China,Feb-17,82
200S,Japan,Feb-17,63
300S,US,Feb-17,28
300S,Canada,Feb-17,23
300S,Brazil,Feb-17,58
300S,Argentina,Feb-17,41
300S,UK,Feb-17,30
300S,France,Feb-17,108
300S,Germany,Feb-17,45
300S,Spain,Feb-17,18
300S,Italy,Feb-17,9
300S,China,Feb-17,37
300S,Japan,Feb-17,7
200S,US,Mar-17,81
200S,Canada,Mar-17,97
200S,Brazil,Mar-17,90
200S,Argentina,Mar-17,61
200S,UK,Mar-17,71
200S,France,Mar-17,75
200S,Germany,Mar-17,22
200S,Spain,Mar-17,59
200S,Italy,Mar-17,36
200S,China,Mar-17,87
200S,Japan,Mar-17,58
300S,US,Mar-17,22
300S,Canada,Mar-17,22
300S,Brazil,Mar-17,55
300S,Argentina,Mar-17,44
300S,UK,Mar-17,30
300S,France,Mar-17,105
300S,Germany,Mar-17,44
300S,Spain,Mar-17,23
300S,Italy,Mar-17,6
300S,China,Mar-17,29
300S,Japan,Mar-17,12
